Date,Close,High,Low,Open,Volume
2022-09-21,126.09199523925781,128.30992221655478,126.08283527929558,127.85167249435281,238100
2022-09-22,127.43925476074219,129.68467567694208,126.58690297719636,128.96980720541185,388300
2022-09-23,125.81705474853516,126.1195012725308,124.497293183708,126.11034131168476,475700
2022-09-26,124.29563903808594,125.9361807279927,123.81906943866012,124.76306266304071,265800
2022-09-27,124.40562438964844,125.77119944446332,123.58076659985093,125.45959302783025,303400
2022-09-28,125.4596176147461,125.96369514318603,123.131715007959,123.5074691794572,213000
2022-09-29,124.18949127197266,125.48003645856035,123.05678091631724,125.44290468476325,421100
2022-09-30,120.96775817871094,124.81154105409392,120.763512188882,124.60729506426499,424900
2022-10-03,125.88855743408203,126.45491261473785,124.22663783312265,124.55158689830269,368800
2022-10-04,129.84375,130.15012606094132,128.37679716626786,128.45107487307982,325400
2022-10-05,128.2096710205078,128.60891193070793,126.61273571375591,127.6990206316585,193100
2022-10-06,126.42704010009766,127.30906480366981,126.27848469378439,126.5941684739559,246200
2022-10-07,126.12995910644531,127.0491156921458,125.53575157447804,126.57561121366449,292300
2022-10-10,125.21077728271484,126.04637668074614,124.65370157267813,126.04637668074614,294200
2022-10-11,125.3964614868164,127.0583950098567,124.52371617308889,124.52371617308889,282400
2022-10-12,125.34075164794922,126.55701889721676,125.34075164794922,125.85140198806766,214900
2022-10-13,126.62201690673828,127.01196421092476,123.01962633422094,123.73453680874093,294000
2022-10-14,124.51445007324219,126.64059468137393,124.44945176262758,126.64059468137393,303500
2022-10-17,126.41777038574219,127.01197788949908,126.12995311834774,126.12995311834774,206500
2022-10-18,124.65371704101562,125.62859257104074,123.68813507975943,125.58216722827277,350600
2022-10-19,123.45601654052734,124.31018897130028,122.63897588195113,124.02237169394499,176100
2022-10-20,123.7066879272461,125.1550677170392,123.29816764458172,124.07806227492829,172000
2022-10-21,124.18949127197266,124.33804670121201,121.94264353107309,122.26760676165598,313600
2022-10-24,125.09938049316406,125.43362311967505,123.6138545604429,124.06880024200726,188300
2022-10-25,127.26266479492188,128.04255949592005,126.06495620615192,126.15780688499555,193100
2022-10-26,128.06112670898438,128.95244511654062,127.03984000975014,127.09554475390513,185600
2022-10-27,126.70558166503906,127.89399661638843,126.63130395970175,127.2440844034667,194400
2022-10-28,129.53736877441406,129.78804011442318,127.70832084725143,127.8290097330623,207800
2022-10-31,128.87814331054688,129.35166188139948,127.72687436781814,128.6646037755283,216800
2022-11-01,125.48931884765625,128.12611373013257,124.8486860122817,128.12611373013257,251000
2022-11-02,125.70286560058594,128.31180826280809,125.57288314589594,126.87270769279576,215900
2022-11-03,125.57288360595703,126.52918613332801,124.62586048001754,125.51717886331797,212200
2022-11-04,127.52262115478516,127.82899720699648,125.89783355300898,126.26920790946268,210000
2022-11-07,127.43905639648438,127.68974189176703,126.17636368616802,127.03982965124192,216500
2022-11-08,127.66190338134766,128.7296154519086,126.87271503908899,127.53192091913132,183800
2022-11-09,124.90438842773438,126.36206185699173,124.50516169255114,126.26921118196012,194900
2022-11-10,130.4658203125,130.51224565385613,127.71760160830463,127.74545397971328,211300
2022-11-11,133.009765625,133.19546699174197,131.38497783518446,131.99775834457236,144300
2022-11-14,131.95130920410156,133.13972406837598,131.55208250506652,132.09986460389155,191500
2022-11-15,133.46469116210938,134.5974013265514,132.70335534104834,134.32814288563054,183400
2022-11-16,131.95130920410156,132.9911828356087,131.67278553827373,132.90761156883767,122200
2022-11-17,132.70335388183594,132.73122041595502,131.00430282087885,131.10643288923907,129800
2022-11-18,132.9447784423828,133.24187512173566,132.42484862824662,132.84264835981855,130300
2022-11-21,131.9884796142578,132.70337604515402,131.7934988449973,132.56411418641457,161000
2022-11-22,134.93167114257812,135.0895059787301,133.9753685566406,134.28175882694475,179900
2022-11-23,136.21292114257812,136.21292114257812,134.85737775574228,135.60942007409344,198900
2022-11-25,137.66131591796875,138.01411736243432,136.42647544477464,136.48218019037313,95600
2022-11-28,136.02720642089844,137.13206420403753,135.85081281857674,136.33359662549336,140700
2022-11-29,134.99661254882812,135.72080235224905,134.50453522514522,134.86663012685568,170200
2022-11-30,137.12278747558594,137.28990168115382,134.4859927851226,135.03377490384824,171400
2022-12-01,137.09494018554688,137.63344292402647,136.0922124139322,136.6864198896642,199500
2022-12-02,136.0457763671875,136.12005406668456,134.61596961118147,135.14517874044185,164900
2022-12-05,132.9447784423828,134.4395837415368,132.44340743087653,134.40243780222713,223400
2022-12-06,130.99502563476562,132.65695930344995,130.1687055845282,132.65695930344995,242600
2022-12-07,131.70993041992188,132.79621532588698,131.23642597384193,131.60780034327436,208200
2022-12-08,132.09986877441406,132.19271944396985,131.48708835620135,131.8399039000856,141000
2022-12-09,133.0840301513672,133.89179134898527,132.29485608901183,132.29485608901183,127900
2022-12-12,133.8082275390625,133.8917988172871,132.53625540071369,133.34400247636296,130800
2022-12-13,134.16104125976562,136.79783617924886,134.00320644067943,136.3336111229867,167100
2022-12-14,134.30030822753906,135.89724361529636,133.51113410203544,135.56300099536983,170400
2022-12-15,131.52423095703125,133.5296863656089,130.96715528786322,132.97261069644085,151300
2022-12-16,130.38223266601562,131.38496041194236,130.02013771612735,130.2429708264522,170200
2022-12-19,129.62091064453125,130.72576845879914,128.92457311456644,129.983005593432,191500
2022-12-20,128.89671325683594,130.20583113718553,128.84100852439934,128.9524179892725,178300
2022-12-21,127.62477111816406,127.9497201889484,126.90986049519724,127.29980788035392,238600
2022-12-22,127.19766998291016,128.52534689131895,126.1578103529942,128.3860850362498,211600
2022-12-23,127.32763671875,127.9032712046767,126.44561202246848,127.23478604881586,149400
2022-12-27,126.41777038574219,127.1698127081662,126.12065955035155,126.38062444780616,137600
2022-12-28,124.53302764892578,126.98413556673637,124.31947390645792,126.26922495865918,236900
2022-12-29,127.57833862304688,127.65261633515476,126.18566339683014,126.21351576799248,249400
2022-12-30,126.80772399902344,127.56904576004537,126.26922120853227,127.08626187921199,168700
2023-01-03,128.38607788085938,128.5624856654651,127.21623586240318,128.08898121759515,309800
2023-01-04,127.37407684326172,128.4974935779807,126.87270583463976,128.32109995186167,467100
2023-01-05,125.82355499267578,126.49204016336539,125.03436678179891,126.00924216963989,178400
2023-01-06,129.02670288085938,129.55591203553044,126.18564803203772,126.39918757395598,164900
2023-01-09,129.9272918701172,131.52422696173136,129.27737972051196,129.34236385196132,229900
2023-01-10,129.18453979492188,129.37952053952287,128.28394211023937,129.0545573541957,231100
2023-01-11,128.91531372070312,129.67663550476232,128.71105354685238,129.67663550476232,251000
2023-01-12,132.1741485595703,132.52696410901453,130.64221165692007,132.0812978885513,242800
2023-01-13,130.26153564453125,130.89287483375153,129.53734579006212,130.3729451092119,291500
2023-01-17,134.41172790527344,135.29375268630233,133.94750284504514,134.30030425724195,383700
2023-01-18,135.09877014160156,137.50346668873445,134.69026399430143,137.41061601110638,305300
2023-01-19,133.86395263671875,134.71813934896474,133.34402275415283,134.5138791569529,244900
2023-01-20,135.6558380126953,135.85081875760628,134.16103285845648,134.55098018125486,269500
2023-01-23,135.58157348632812,136.10150330059454,134.73668045463276,135.34018154885442,231300
2023-01-24,135.56298828125,139.63888348160043,134.62525881994304,139.63888348160043,143600
2023-01-25,135.6929931640625,135.9901040328349,134.82026186285202,135.5351583276619,245000
2023-01-26,135.0616455078125,135.730130754391,134.07749060785667,135.10807084907978,137100
2023-01-27,136.6307373046875,137.15994656141118,135.3123396968716,135.5537316531108,171800
2023-01-30,134.79238891601562,135.82296917166872,134.70883180077962,135.55372485578877,182400
2023-01-31,136.58432006835938,136.58432006835938,135.44233020066926,135.83227761483107,145700
2023-02-01,137.94911193847656,138.34833866504184,136.09221181412022,136.09221181412022,213100
2023-02-02,136.1293487548828,136.8164069271256,134.26316915913412,136.4821643253621,299400
2023-02-03,134.35601806640625,135.93438037788403,134.11461197735238,135.20089687702279,248100
2023-02-06,133.5018310546875,134.06818617137742,132.7405093543148,133.69681180539425,172100
2023-02-07,134.291015625,134.59740584373236,132.82406283547394,133.2511560950164,166900
2023-02-08,133.53897094726562,134.29101321290824,133.0561729597207,133.69680575401577,192400
2023-02-09,134.4674530029297,136.93713409731754,134.33747053306857,135.88798076892138,334000
2023-02-10,133.15830993652344,133.67823971914052,132.31341695625866,133.39042245855066,230100
2023-02-13,133.56683349609375,133.61325883503505,132.35984551874174,132.7219404952449,197500
2023-02-14,132.4434051513672,132.87977784508348,131.4221185103272,132.582681170844,230400
2023-02-15,130.88360595703125,130.8928853574932,130.038713003214,130.36367619068943,387800
2023-02-16,132.48983764648438,133.38115605138896,131.20858603365488,131.28284958095696,303200
2023-02-17,132.6291046142578,132.8147918038805,131.67280212902773,131.9141940588348,145800
2023-02-21,129.2216796875,130.52151834350386,128.8038799708298,130.13157099681,324000
2023-02-22,128.7296142578125,129.31454241587315,128.3953716199244,128.77603960110753,178200
